sentence	sentence_id	locale	reason
Jalan itu dibatas dari jalan dengan pagar.	40a34c34c833d98a9718aede80efed3c0eca48a06d4484910f3087f154844c67	id	grammar-or-spelling
dehidrasi disebabkan kurang nya cairan yang ada tubuh.	53af376dfa814c22bfe07ac60a30774f2e842c33bf01957d6f862c909b747015	id	grammar-or-spelling
Jalan itu dibatas dari jalan dengan pagar.	40a34c34c833d98a9718aede80efed3c0eca48a06d4484910f3087f154844c67	id	grammar-or-spelling
Tom menikahi perempuan yang lebih mudah dari dirinya.	439a07a67b69164a23bb199cbbf2a3b5c0297d36113e436faa76eddc8198e01d	id	grammar-or-spelling
dehidrasi disebabkan kurang nya cairan yang ada tubuh.	53af376dfa814c22bfe07ac60a30774f2e842c33bf01957d6f862c909b747015	id	grammar-or-spelling
Dia memiliki banyak untang.	5adef41292ec66abc49bd1c7317b3adde9f2cb279b03b3df53e912ecea4b4564	id	grammar-or-spelling
Jika kau tidak malu, lakukankanlah sesukamu.	529388de2153f8984bb26d01fdf166bd036542f7a418fc6642df098c12d3e23d	id	grammar-or-spelling
Bisakan itu diungkapkan dengan cara lain?	662d972e1dc50e99259a3c26eae12493511624c10d6502e59255fc09681b68d1	id	grammar-or-spelling
Tom menikahi perempuan yang lebih mudah dari dirinya.	439a07a67b69164a23bb199cbbf2a3b5c0297d36113e436faa76eddc8198e01d	id	grammar-or-spelling
Antrian nya cukup panjang	65e08952e28d473d0fd5a704493e70c2d9d1f113a2ab5c2eaae6e02ab87e99d1	id	avfdvg
Tidak semua buku yang di atas meja miliki saya.	1729e4a01324075fabfcb9331b33cd3b1db915e4f8798da36e505fc31b7b57d2	id	grammar-or-spelling
Tom menikahi perempuan yang lebih mudah dari dirinya.	439a07a67b69164a23bb199cbbf2a3b5c0297d36113e436faa76eddc8198e01d	id	grammar-or-spelling
Jika kau tidak malu, lakukankanlah sesukamu.	529388de2153f8984bb26d01fdf166bd036542f7a418fc6642df098c12d3e23d	id	grammar-or-spelling
Kemaren saya menerima suratnya.	246286278c41ed0d845234c6d567f5ece85c936285024e87cdbdf91dfa28195d	id	grammar-or-spelling
Hari ini saya datang terlambat	52e25f9080b16630b0c48b84db7313b08486bd5d5af1dbd778ebf5789b7502dc	id	offensive-language
Hari ini saya datang terlambat	52e25f9080b16630b0c48b84db7313b08486bd5d5af1dbd778ebf5789b7502dc	id	grammar-or-spelling
Hari ini saya datang terlambat	52e25f9080b16630b0c48b84db7313b08486bd5d5af1dbd778ebf5789b7502dc	id	different-language
Hari ini saya datang terlambat	52e25f9080b16630b0c48b84db7313b08486bd5d5af1dbd778ebf5789b7502dc	id	difficult-pronounce
Hari ini saya datang terlambat	52e25f9080b16630b0c48b84db7313b08486bd5d5af1dbd778ebf5789b7502dc	id	spam
Kalau bertaruh ke kuda itu mungkin menang.	64678454eeea0c30d3a1f6d1293e06a53c77405f49f561b6f93134fa3d373170	id	different-language
Jendela terbuka.	6c8a2118976ec3044ad6d31529e10a513b1100524eb80c7c0f230e476c1d3170	id	offensive-language
Jendela terbuka.	6c8a2118976ec3044ad6d31529e10a513b1100524eb80c7c0f230e476c1d3170	id	grammar-or-spelling
Jendela terbuka.	6c8a2118976ec3044ad6d31529e10a513b1100524eb80c7c0f230e476c1d3170	id	different-language
Jendela terbuka.	6c8a2118976ec3044ad6d31529e10a513b1100524eb80c7c0f230e476c1d3170	id	difficult-pronounce
Jendela terbuka.	6c8a2118976ec3044ad6d31529e10a513b1100524eb80c7c0f230e476c1d3170	id	Pembajak
Tom menikahi perempuan yang lebih mudah dari dirinya.	439a07a67b69164a23bb199cbbf2a3b5c0297d36113e436faa76eddc8198e01d	id	grammar-or-spelling
Tidak ada orang yang sempurna.	b4f9c1633f0d1b462882e9ef46bbd36086e4941519dc8f1c3641139be34ce114	id	difficult-pronounce
Saya ingin ini dan itu.	c090db2f6e5b567e55caba5fe52e0d41fa7308e6db9b7616a9a1512dd8ff5b80	id	offensive-language
Tom menyiapkan makan malan sendiri.	383f1b3db1e6d6c256547750c192692be8fd71d0a5cf3add69f5a047605e95c6	id	grammar-or-spelling
Saya membeli buku jalan-jalan di toko buku.	3320d998c372a0ae9d1ac102da36f7814f60c2178d0b2d2a6e9ff67ba3ad9ad1	id	grammar-or-spelling
Ke manapun kau pergi, aku ikut.	35d29946a62aaeeffdc48f379c3b68d5c2962f51aa54a48fdc0b0db2e6d53d41	id	grammar-or-spelling
Saya tidak mencari apa apa	2f0c1a5811f5b7ce5f4a36fe2cfd90be1bdd572cc0af5a6644613b6eb520fd48	id	grammar-or-spelling
Kemanapun kamu menghadap disitu wajah Tuhan.	2b5214ddef176faa3df5073c919b1def54c046dd54d68aad9f2482abed1a609f	id	grammar-or-spelling
Marc akan menjual mobil.	12612b3d2bdcadfad797eba035ba1f45c7005390cd384d5334bc8b9c81aff1eb	id	difficult-pronounce
Buah Jeruk ini rasa nya Asam	2e22fdb7b1c7b4c3716338848d165c076683f79127a92d344ac64682219fcd28	id	grammar-or-spelling
Pengetahuan tentang komputer adalah dasar daripada segala ilmu pengetahuan.	1d7107f6c201bc098dd082aee51da0a31936be57cf9c7c278d59d5672bdbef2c	id	Maknanya tidak benar
Saya makan hot dog untuk makan siang.	2918fdc75c012d9f8e8eb7778ca2593ee75096da35b2a1dff8108d20b91df107	id	grammar-or-spelling
Anda berada dijalan saya.	8d1dbabfe92f74754b62afff66e2fb158fca2e12088655a163fb6cfe02f8d1b2	id	grammar-or-spelling
Saya harus mengembalikan buku selambat-lambatnya hari Selasa.	c0d51cc0019d4b7c7c5d47070f3bba992b3513da45266c9f431428e8ae41e17e	id	grammar-or-spelling
Seperti apa wawancara anda?	120a197dd3e7b18cf61dd0f023347967f9b0c83772c4f61ab34125689410087e	id	grammar-or-spelling
Anda berada dijalan saya.	8d1dbabfe92f74754b62afff66e2fb158fca2e12088655a163fb6cfe02f8d1b2	id	grammar-or-spelling
Mona Lisa dilukis oleh Leonardo da Vinci.	f322288576acb2aeb82c8819973f9fee1b16bdd26861d82b52bbe3715fff9604	id	grammar-or-spelling
Anda berada dijalan yang benar.	42450c46ddeda0fdb228a38275b9634b0551f196f59ca9fc252f0a684167fa28	id	grammar-or-spelling
